Venue,Place_id,Address,Map Link,Website,Facility Type,Floor Type,Alternate Address
6th Avenue Skate Park,ChIJG5TiVUGHhYARsEOMzR3jRIQ,"Golden Gate Park, San Francisco, CA 94118, USA",https://maps.app.goo.gl/U5DrKK8JUBQZH2Df7,,Outdoor,Cement,
Aloha Fun Center,ChIJkzcW19MzjoARtmC3SB-ByEk,"2190 Eastridge Loop Suite 1402, San Jose, CA 95122, USA",https://maps.app.goo.gl/RqwwfkYno3U1yxq86,https://alohafuncenter.com/,Indoor,Cement,
Bayshore Roller Hockey Rink,ChIJaxFREDkw3YARIDQlFxFUjZw,"14 54th Pl, Long Beach, CA 90803, USA",https://maps.app.goo.gl/3YDGL6SR88HmUMma8,https://www.longbeach.gov/park/park-and-facilities/directory/bayshore-roller-hockey-rink/,Outdoor,Cement,
Blue Lake Roller Rink,ChIJcyx_XFhY0VQR87Nz_B--Nto,"312 S Railroad Ave, Blue Lake, CA 95525, USA",https://maps.app.goo.gl/ckyEnTNpCgnWmEV58,https://bluelake.ca.gov/bluelakerollerrink-2/,Indoor,Cement,
Cal Skate GT,ChIJj-eoBbGt3IARhOlf5NbfI2Q,"22080 Commerce Wy, Grand Terrace, CA 92313, USA",https://maps.app.goo.gl/3s5DunoY5zWqUEsi8,https://www.gocalskate.com/,Indoor,Wood,
Cal Skate of Rohnert Park,ChIJ1zwgcQ5KhIARLRZv30UhCN4,"6100 Commerce Blvd, Rohnert Park, CA 94928, USA",https://maps.app.goo.gl/N3JVbZo4AuLammHD6,http://calskate.com/,Indoor,Cement,
Central Coast Sports Arena,ChIJdSYYbHtr7IARNZgRjBoqP28,"937 S Thornburg St, Santa Maria, CA 93458, USA",https://maps.app.goo.gl/1mRJ9ykMTKARF6Ah6,http://www.centralcoastsportsarena.com/,Indoor,Sport Court,
Charles H. Wilson Park (Community Sports Complex),ChIJQWQhb8BK3YARMetrzukjuwE,"2200 Crenshaw Blvd, Torrance, CA 90501, USA",https://maps.app.goo.gl/kTnsbymjq9QUPbRP7,https://www.torranceca.gov/services/recreation-services/adult-sports/roller-rink-at-wilson-park,Outdoor - Covered,Sport Court,
Church of 8 Wheels,ChIJLQ8SbaSAhYARezHv5UsLGQQ,"554 Fillmore St, San Francisco, CA 94117, USA",https://maps.app.goo.gl/MF8Ybc2c1BXZNyCD9,http://www.churchof8wheels.com/,Indoor,Wood,
Derby Dolls,ChIJ4WOmSnLJwoARSbMgkUN0xi0,"2661 E 46th St, Vernon, CA 90058, USA",https://maps.app.goo.gl/VmCaWD6qajYS1ooZ7,http://derbydolls.com/,Indoor,Banked Derby Track,
El Dorado Skatepark,ChIJmxD5KA4u3YARR6D4KBkCUDM,"2760 N Studebaker Rd, Long Beach, CA 90815, USA",https://maps.app.goo.gl/Yai6xLrVUsvWVckV6,https://www.longbeach.gov/park/park-and-facilities/directory/el-dorado-park-west/,Outdoor,Cement,
Epic Rollertainment,ChIJC8h9_nOC3IAReUczmDTR_Cc,"39809 Avenida Acacias, Murrieta, CA 92563, USA",https://maps.app.goo.gl/UCFBJcmG2ufn6GGu9,http://www.epicrollertainment.com/,Indoor,Wood,
